dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
445,02310,02310,Pernis apivorus,European Honey Buzzard,species,LC,NA,558,Regular,2017,NA,313,1
456,02380,02380,Milvus migrans,Black Kite,species,LC,NA,9,NA,NA,NA,0,0
462,02390,02390,Milvus milvus,Red Kite,species,LC,NA,527,Regular,2017,NA,274,1
469,02430,02430,Haliaeetus albicilla,White-tailed Eagle,species,LC,NA,604,Regular,2017,NA,111,1
490,02600,02600,Circus aeruginosus,Western Marsh Harrier,species,LC,NA,2442,Regular,2017,NA,685,1
493,02610,02610,Circus cyaneus,Hen Harrier,species,LC,NA,1097,Occasional,2002,NA,0,1
498,02630,02630,Circus pygargus,Montagu's Harrier,species,LC,NA,89,Regular,2017,NA,34,1
504,02670,02670,Accipiter gentilis,Northern Goshawk,species,LC,NA,980,Regular,2017,NA,438,1
510,02690,02690,Accipiter nisus,Eurasian Sparrowhawk,species,LC,NA,4915,Regular,2017,NA,753,1
534,02870,02870,Buteo buteo,Common Buzzard,species,LC,NA,35734,Regular,2017,NA,1629,1
542,02900,02900,Buteo lagopus,Rough-legged Buzzard,species,LC,NA,1818,NA,NA,NA,NA,0
559,02960,02960,Aquila chrysaetos,Golden Eagle,species,LC,NA,43,Regular,2017,NA,5,1
566,03010,03010,Pandion haliaetus,Western Osprey,species,LC,NA,167,Regular,2017,NA,6,1
568,03030,03030,Falco naumanni,Lesser Kestrel,species,LC,NA,1,NA,NA,NA,NA,0
569,03040,03040,Falco tinnunculus,Common Kestrel,species,LC,NA,9941,Regular,2017,NA,1123,1
572,03070,03070,Falco vespertinus,Red-footed Falcon,species,NT,NA,11,NA,NA,NA,0,0
574,03090,03090,Falco columbarius,Merlin,species,LC,NA,93,NA,NA,NA,0,0
580,03100,03100,Falco subbuteo,Eurasian Hobby,species,LC,NA,40,Regular,2017,NA,26,1
596,03180,03180,Falco rusticolus,Gyrfalcon,species,LC,NA,1,NA,NA,NA,NA,0
599,03200,03200,Falco peregrinus,Peregrine Falcon,species,LC,NA,143,Regular,2017,NA,15,1
625,03320,03320,Lyrurus tetrix,Black Grouse,species,LC,NA,10,Regionally extinct,1988,NA,0,1
683,03670,03670,Perdix perdix,Grey Partridge,species,LC,NA,3160,Regular,2017,NA,843,1
690,03700,03700,Coturnix coturnix,Common Quail,species,LC,NA,240,Regular,2017,NA,702,1
721,03940,03940,Phasianus colchicus,Common Pheasant,species,LC,NA,65896,Regular,2017,1,1779,1
741,04070,04070,Rallus aquaticus,Water Rail,species,LC,6400,893,Regular,2017,NA,631,1
745,04080,04080,Porzana porzana,Spotted Crake,species,LC,6000,19,Regular,2017,NA,82,1
761,04210,04210,Crex crex,Corn Crake,species,LC,NA,37,Regular,2017,NA,165,1
764,04240,04240,Gallinula chloropus,Common Moorhen,species,LC,37100,4811,Regular,2017,NA,1231,1
775,04290,04290,Fulica atra,Eurasian Coot,species,LC,15500,19267,Regular,2017,NA,1354,1
782,04330,04330,Grus grus,Common Crane,species,LC,3500,373,Regular,2017,NA,263,1
817,04500,04500,Haematopus ostralegus,Eurasian Oystercatcher,species,NT,8200,6853,Regular,2017,NA,919,1
829,04560,04560,Recurvirostra avosetta,Pied Avocet,species,LC,940,853,Regular,2017,NA,212,1
852,04690,04690,Charadrius dubius,Little Ringed Plover,species,LC,3100,152,Regular,2017,NA,399,1
853,04700,04700,Charadrius hiaticula,Common Ringed Plover,species,LC,4740,792,Regular,2017,NA,491,1
865,04770,04770,Charadrius alexandrinus,Kentish Plover,species,LC,660,39,Regular,2017,NA,9,1
876,04820,04820,Charadrius morinellus,Eurasian Dotterel,species,LC,690,28,NA,NA,NA,0,0
883,04850,04850,Pluvialis apricaria,European Golden Plover,species,LC,11100,284,Regular,2017,NA,1,1
886,04860,04860,Pluvialis squatarola,Grey Plover,species,LC,2000,56,NA,NA,NA,NA,0
894,04930,04930,Vanellus vanellus,Northern Lapwing,species,NT,72300,21045,Regular,2017,NA,1819,1
898,04960,04960,Calidris canutus,Red Knot,species,NT,7800,17,NA,NA,NA,NA,0
902,04970,04970,Calidris alba,Sanderling,species,LC,2000,29,NA,NA,NA,NA,0
906,05010,05010,Calidris minuta,Little Stint,species,LC,3000,10,NA,NA,NA,NA,0
909,05020,05020,Calidris temminckii,Temminck's Stint,species,LC,410,2,NA,NA,NA,NA,0
917,05090,05090,Calidris ferruginea,Curlew Sandpiper,species,NT,4000,1,NA,NA,NA,NA,0
918,05100,05100,Calidris maritima,Purple Sandpiper,species,LC,710,4,NA,NA,NA,NA,0
920,05120,05120,Calidris alpina,Dunlin,species,LC,13315,384,Regular,2017,NA,22,1
